Name,Price,% Price Px. - 3-Mo,% Price Px. - 12-Mo,Market Capitalization,Enterprise Value,EV / Implied ARR,EV / NTM Revenue,EV / NTM Gross Profit,EV / NTM FCF,Growth Adj. EV / NTM Revenue,Implied ARR,Net New ARR,LTM Revenue,% YoY Growth - Implied ARR,% YoY Growth - LTM Revenue,% YoY Growth - NTM Revenue,% LTM Margins - GM,% LTM Margins - S&M,% LTM Margins - R&D,% LTM Margins - G&A,% LTM Margins - OpEx,% LTM Margins - Operating Income,% LTM Margins - FCF,NTM % FCF Margin,LTM Rule of 40,NTM Rule of 40,Magic Number,Payback Period,Implied Average ACV,Customer Count,Implied ARR / FTE,Annualized OpEx / FTE,Net Dollar Retention,Multiple Return Since IPO
Adobe,$394.74,(15%),(31%),"$171,671","$170,799",7.6x,7.1x,7.9x,18.5x,0.61x,"$22,424",$792,"$21,505",11%,11%,12%,90%,24%,14%,6%,50%,40%,37%,38%,47%,50%,0.6,21.9,-,-,$730,$341,-,-
Alkami,$25.26,(36%),8%,"$2,603","$2,506",7.0x,5.7x,9.1x,86.9x,0.19x,$359,$15,$334,26%,26%,31%,63%,15%,24%,16%,55%,8%,3%,7%,29%,38%,1.2,15.3,$478,750,$382,$199,115%,0.8x
*Amplitude,$11.75,(0.1%),6%,"$1,605","$1,312",4.2x,4.0x,5.2x,72.1x,0.40x,$313,$12,$299,9%,8%,10%,77%,45%,17%,15%,78%,(1%),4%,6%,12%,15%,0.4,43.0,$82,"3,800",$432,$332,100%,0.3x
AppFolio,$216.74,(16%),(3%),"$7,903","$7,666",9.4x,8.2x,12.5x,34.8x,0.45x,$815,($8),$794,19%,28%,18%,65%,13%,17%,8%,38%,27%,23%,23%,51%,42%,-,-,$39,"20,784",$499,$207,-,18.1x
Appian,$30.18,(18%),(18%),"$2,235","$2,390",3.6x,3.5x,4.6x,83.7x,0.33x,$667,$51,$617,15%,13%,11%,77%,36%,23%,21%,80%,(4%),0.5%,4%,14%,15%,1.0,14.7,$667,"1,000",$328,$233,116%,2.5x
AppLovin,$292.89,(10%),364%,"$100,643","$103,458",18.8x,18.1x,24.1x,37.0x,0.86x,"$5,491",$698,"$4,709",44%,43%,21%,75%,16%,8%,3%,28%,48%,44%,49%,88%,70%,3.8,4.1,-,-,"$3,582",$900,-,3.7x
Asana,$13.88,(43%),(14%),"$3,265","$3,061",4.1x,3.9x,4.3x,56.5x,0.45x,$753,$18,$724,10%,11%,9%,90%,49%,31%,16%,95%,(6%),0.4%,7%,11%,16%,0.2,66.6,"$4,458",169,$372,$369,96%,0.7x
Atlassian,$218.44,(22%),8%,"$57,231","$56,007",10.9x,9.9x,11.8x,33.8x,0.54x,"$5,146",$395,"$4,795",21%,23%,18%,84%,17%,34%,10%,61%,24%,29%,29%,52%,47%,1.9,7.6,-,-,$404,$239,-,10.4x
AvePoint,$14.66,(20%),88%,"$3,246","$2,974",8.3x,7.7x,10.2x,35.7x,0.47x,$357,$2,$330,20%,22%,17%,76%,34%,12%,15%,61%,14%,26%,22%,47%,38%,0.1,-,$14,"25,000",$122,$72,110%,1.5x
AvidXchange,$7.92,(29%),(37%),"$1,619","$1,305",2.8x,2.9x,3.9x,23.2x,0.66x,$462,$11,$439,11%,15%,4%,74%,17%,20%,17%,54%,19%,12%,12%,27%,17%,0.5,29.6,$54,"8,500",$289,$150,-,0.3x
Axon,$556.26,(14%),82%,"$43,608","$43,352",18.8x,16.6x,27.1x,95.5x,0.66x,"$2,301",$123,"$2,084",33%,33%,25%,62%,-,15%,26%,50%,13%,11%,17%,44%,43%,-,-,-,-,$561,$273,123%,42.8x
Bentley Systems,$41.44,(12%),(15%),"$13,088","$14,451",10.3x,9.8x,12.0x,33.3x,1.04x,"$1,399",$59,"$1,353",13%,10%,9%,81%,18%,19%,13%,48%,33%,31%,29%,41%,39%,1.0,15.6,$34,"41,000",$254,$139,110%,1.9x
BigCommerce,$5.97,(15%),(17%),$469,$512,1.5x,1.5x,1.9x,17.7x,0.38x,$348,$13,$333,3%,8%,4%,78%,36%,20%,16%,72%,6%,7%,8%,14%,12%,0.4,34.4,-,-,$300,$201,-,0.2x
Bill.com,$46.42,(47%),(28%),"$4,732","$4,297",3.0x,2.8x,3.2x,18.6x,0.23x,"$1,450",$16,"$1,388",14%,16%,12%,86%,33%,16%,15%,64%,22%,21%,15%,37%,27%,0.1,99.0,-,-,$629,$397,92%,2.1x
Blackbaud,$63.45,(19%),(13%),"$3,072","$4,118",3.4x,3.7x,6.1x,22.2x,-,"$1,209",$62,"$1,156",2%,5%,(3%),61%,16%,12%,6%,33%,29%,20%,17%,24%,13%,1.4,14.8,-,-,$465,$141,-,7.9x
BlackLine,$49.89,(22%),(25%),"$3,134","$3,201",4.7x,4.6x,5.7x,19.5x,0.61x,$678,$14,$653,9%,11%,7%,79%,33%,13%,13%,60%,19%,25%,23%,36%,31%,0.3,56.9,$153,"4,443",$370,$228,102%,2.9x
Blend Labs,$3.55,(28%),51%,$922,"$1,021",6.2x,5.6x,10.0x,89.0x,0.44x,$166,($15),$162,15%,3%,13%,56%,20%,22%,22%,65%,(9%),(8%),6%,(5%),19%,-,-,-,-,$164,$158,-,0.2x
*Box,$31.24,(4%),6%,"$4,549","$5,067",4.5x,4.4x,5.4x,15.1x,0.72x,"$1,118",$14,"$1,090",6%,5%,6%,81%,28%,17%,8%,53%,28%,28%,29%,33%,35%,0.2,77.8,-,-,$416,$215,102%,2.2x
*Braze,$35.28,(15%),(32%),"$3,759","$3,359",5.5x,5.1x,7.3x,84.4x,0.30x,$608,$26,$564,23%,28%,17%,69%,42%,16%,14%,72%,(3%),0.2%,6%,28%,23%,0.4,37.9,$275,"2,211",$338,$249,113%,0.5x
C3.ai,$21.61,(45%),(26%),"$3,056","$2,336",5.9x,5.2x,7.6x,-,0.24x,$395,$18,$367,26%,24%,22%,70%,41%,38%,13%,92%,(22%),(10%),(10%),14%,12%,0.5,33.6,-,-,$389,$379,-,0.5x
Clearwater,$26.91,(9%),64%,"$6,593","$6,432",12.7x,11.9x,15.3x,44.2x,0.61x,$506,$43,$452,28%,23%,20%,78%,11%,24%,11%,46%,32%,15%,27%,38%,47%,3.1,4.9,$361,"1,400",$264,$121,116%,1.5x
Cloudflare,$116.15,2%,23%,"$40,844","$40,452",22.0x,19.3x,24.5x,-,0.76x,"$1,840",$119,"$1,670",27%,29%,26%,79%,38%,16%,11%,65%,14%,10%,11%,39%,37%,0.7,20.7,$8,"237,714",$432,$272,111%,7.7x
Confluent,$26.36,(14%),(15%),"$9,231","$8,430",8.4x,7.2x,9.3x,-,0.27x,"$1,001",$61,$916,25%,25%,27%,78%,42%,23%,10%,75%,3%,(1%),3%,24%,31%,0.6,24.3,$176,"5,680",$330,$241,117%,0.7x
Couchbase,$13.68,(11%),(51%),$733,$590,2.7x,2.6x,2.9x,-,0.26x,$220,$13,$209,10%,16%,10%,89%,57%,25%,14%,96%,(7%),(9%),(0.2%),7%,10%,0.5,29.2,$232,947,$252,$248,114%,0.6x
