Name,Price,% Price Px. - 3-Mo,% Price Px. - 12-Mo,Market Capitalization,Enterprise Value,EV / Implied ARR,EV / NTM Revenue,EV / NTM Gross Profit,EV / NTM FCF,Growth Adj. EV / NTM Revenue,Implied ARR,Net New ARR,LTM Revenue,% YoY Growth - Implied ARR,% YoY Growth - LTM Revenue,% YoY Growth - NTM Revenue,% LTM Margins - GM,% LTM Margins - S&M,% LTM Margins - R&D,% LTM Margins - G&A,% LTM Margins - OpEx,% LTM Margins - Operating Income,% LTM Margins - FCF,NTM % FCF Margin,LTM Rule of 40,NTM Rule of 40,Magic Number,Payback Period,Implied Average ACV,Customer Count,Implied ARR / FTE,Annualized OpEx / FTE,Net Dollar Retention,Multiple Return Since IPO
DigitalOcean,$36.89,3%,(7%),"$3,432","$4,699",5.7x,5.3x,8.6x,29.8x,0.40x,$820,$26,$781,13%,13%,13%,61%,7%,14%,16%,37%,25%,12%,18%,25%,31%,1.7,11.2,$5,"165,000",$677,$239,99%,0.8x
Docebo,$30.09,(35%),(57%),$916,$825,3.6x,3.4x,4.2x,19.9x,0.30x,$228,$6,$217,16%,20%,11%,81%,31%,20%,13%,67%,14%,13%,17%,33%,28%,0.4,40.0,$57,"3,978",$230,$153,100%,0.6x
DocuSign,$88.06,(7%),50%,"$17,835","$16,995",5.6x,5.4x,6.7x,17.4x,0.69x,"$3,019",$75,"$2,913",8%,8%,8%,65%,32%,13%,9%,53%,12%,31%,30%,38%,38%,0.3,-,$2,"1,600,000",$450,$238,100%,3.0x
*Domo,$8.29,16%,(12%),$324,$410,1.3x,1.3x,1.7x,-,-,$315,($4),$317,(2%),(0.6%),(0.8%),76%,41%,22%,13%,76%,0.2%,(6%),1%,(6%),0.2%,-,-,$128,"2,500",$335,$248,-,0.4x
DoubleVerify,$14.08,(29%),(58%),"$2,337","$2,118",2.8x,2.9x,3.6x,15.5x,0.28x,$762,$84,$657,11%,15%,10%,82%,21%,18%,10%,54%,28%,17%,19%,32%,30%,2.5,5.8,$381,"2,000",$637,$276,124%,0.5x
Doximity,$62.99,9%,125%,"$12,677","$11,845",17.6x,19.2x,21.1x,42.2x,1.56x,$674,$127,$550,25%,17%,12%,92%,20%,13%,5%,39%,54%,42%,46%,60%,58%,4.8,2.7,-,-,$811,$273,117%,2.4x
Dropbox,$26.50,(12%),9%,"$7,998","$9,401",3.7x,3.6x,4.3x,10.8x,1.40x,"$2,574",$19,"$2,548",1%,2%,3%,84%,16%,24%,7%,48%,36%,34%,32%,36%,35%,0.2,76.0,$4,"575,000","$1,168",$540,-,1.2x
Dynatrace,$49.82,(9%),7%,"$14,979","$14,046",8.1x,7.5x,8.9x,29.0x,0.53x,"$1,745",$72,"$1,634",19%,20%,14%,84%,31%,16%,8%,56%,29%,25%,25%,45%,40%,0.6,24.2,$381,"4,000",$324,$192,111%,3.0x
Elastic,$97.21,(6%),(4%),"$10,261","$9,565",6.3x,5.9x,7.7x,39.5x,0.43x,"$1,528",$67,"$1,430",17%,18%,14%,77%,36%,18%,9%,63%,14%,17%,15%,35%,28%,0.5,28.7,$72,"21,350",$449,$269,112%,2.6x
Enfusion,$11.10,4%,20%,"$1,052","$1,044",4.9x,4.4x,6.4x,33.7x,0.25x,$212,$7,$202,14%,16%,18%,69%,12%,11%,33%,47%,22%,15%,13%,31%,31%,1.2,14.4,$231,916,$185,$97,102%,0.7x
EverCommerce,$10.08,(10%),12%,"$1,849","$2,259",3.2x,3.5x,5.3x,19.1x,-,$705,($5),$693,0.9%,4%,(6%),66%,17%,11%,14%,42%,24%,12%,17%,15%,11%,-,-,$1,"690,000",$353,$145,91%,0.6x
Expensify,$3.25,(10%),75%,$301,$258,1.7x,1.7x,2.8x,15.0x,0.25x,$148,$6,$139,5%,(8%),7%,63%,8%,9%,23%,39%,24%,12%,12%,4%,19%,2.5,7.9,-,-,"$1,287",$426,-,0.1x
Fastly,$7.11,(29%),(45%),"$1,012","$1,121",2.0x,1.9x,3.3x,-,0.30x,$562,$13,$544,2%,7%,7%,58%,29%,19%,14%,63%,(5%),(4%),(3%),4%,4%,0.4,57.6,$178,"3,097",$511,$304,-,0.4x
Five9,$30.14,(29%),(51%),"$2,285","$2,512",2.3x,2.2x,3.6x,21.1x,0.22x,"$1,115",$58,"$1,042",17%,14%,10%,62%,25%,12%,7%,43%,19%,8%,10%,22%,20%,0.9,20.1,$372,"3,000",$363,$147,108%,4.2x
Freshworks,$15.54,1%,(16%),"$4,699","$3,668",4.7x,4.5x,5.3x,16.6x,0.34x,$778,$32,$720,22%,21%,13%,86%,44%,17%,10%,72%,14%,20%,26%,41%,39%,0.4,36.2,$11,"72,200",$177,$116,103%,0.4x
GitLab,$50.95,(15%),(15%),"$8,572","$7,625",9.0x,8.1x,8.9x,48.1x,0.33x,$846,$62,$759,29%,31%,24%,91%,41%,24%,16%,81%,10%,(9%),17%,22%,42%,0.8,16.8,$82,"9,519",$308,$257,123%,0.7x
Guidewire,$191.54,9%,69%,"$16,206","$15,922",13.8x,12.7x,19.9x,64.8x,0.84x,"$1,158",$106,"$1,085",20%,17%,15%,65%,16%,22%,12%,50%,15%,0.5%,19%,18%,34%,2.6,7.1,-,-,$334,$156,-,14.3x
HubSpot,$606.27,(16%),(2%),"$32,259","$30,934",11.0x,10.3x,12.0x,56.1x,0.72x,"$2,813",$134,"$2,628",21%,21%,14%,86%,41%,20%,8%,69%,18%,18%,18%,39%,33%,0.5,28.3,$11,"247,939",$341,$231,-,24.4x
Intapp,$60.95,(6%),73%,"$5,025","$4,762",9.8x,8.9x,11.8x,40.4x,0.57x,$485,$10,$465,17%,19%,16%,76%,26%,23%,15%,63%,13%,18%,21%,37%,37%,0.3,50.0,$183,"2,650",$370,$238,-,2.3x
Intuit,$604.04,(6%),(7%),"$169,038","$173,471",10.9x,9.0x,11.0x,27.9x,0.73x,"$15,852","$2,720","$17,167",17%,14%,12%,82%,24%,13%,7%,44%,39%,33%,32%,47%,44%,3.3,4.6,$0,"100,000,000",$677,$385,-,-
Jamf,$13.17,(10%),(28%),"$1,709","$1,875",2.9x,2.8x,3.4x,15.5x,0.34x,$652,$15,$627,8%,12%,8%,82%,34%,18%,14%,65%,16%,4%,18%,15%,26%,0.3,50.9,$9,"76,500",$251,$161,104%,0.5x
*JFrog,$33.98,10%,(23%),"$3,909","$3,401",7.3x,6.8x,8.1x,32.9x,0.40x,$464,$28,$428,19%,22%,17%,84%,32%,25%,11%,69%,15%,25%,20%,48%,37%,0.8,18.3,$64,"7,300",$290,$189,116%,0.8x
Klaviyo,$33.00,(25%),22%,"$9,961","$9,133",8.5x,7.9x,10.1x,57.1x,0.33x,"$1,081",$140,$937,34%,34%,24%,77%,39%,20%,13%,72%,5%,16%,14%,50%,38%,1.5,10.6,$6,"167,000",$495,$367,108%,1.1x
Lightspeed POS,$10.61,(34%),(22%),"$1,623",$979,0.9x,0.8x,1.9x,20.7x,0.05x,"$1,121",$12,"$1,054",17%,22%,16%,25%,21%,10%,7%,38%,(12%),(5%),4%,17%,20%,0.2,-,$2,"500,000",$307,$128,-,0.9x
Monday,$265.45,9%,16%,"$13,836","$12,480",11.6x,10.2x,11.4x,38.9x,0.40x,"$1,072",$68,$972,32%,33%,25%,90%,51%,17%,8%,76%,14%,30%,25%,64%,50%,0.5,25.8,$4,"245,000",$427,$317,112%,1.7x
MongoDB,$192.54,(22%),(47%),"$15,736","$13,474",6.1x,5.9x,7.8x,85.7x,0.43x,"$2,194",$76,"$2,006",20%,19%,14%,76%,35%,18%,8%,61%,15%,6%,7%,25%,20%,0.4,36.9,$40,"54,500",$390,$224,120%,7.7x
N-able,$7.49,(22%),(43%),"$1,416","$1,700",3.6x,3.5x,4.1x,33.3x,0.66x,$466,$0,$466,7%,10%,5%,84%,26%,17%,11%,53%,31%,13%,11%,24%,16%,0.0,-,$19,"25,000",$263,$143,110%,0.6x
nCino,$28.50,(19%),(6%),"$3,320","$3,303",5.9x,5.6x,8.4x,31.5x,0.40x,$555,$26,$523,14%,13%,14%,66%,18%,21%,10%,49%,17%,14%,18%,27%,31%,1.0,17.2,$275,"1,800",$299,$151,117%,0.9x
*Okta,$113.74,37%,9%,"$19,868","$18,331",6.7x,6.4x,7.9x,24.4x,0.66x,"$2,728",$68,"$2,610",13%,15%,10%,82%,31%,16%,12%,59%,22%,28%,26%,43%,36%,0.3,46.4,$139,"19,650",$461,$264,107%,6.6x
Olo,$6.44,(18%),17%,"$1,112",$766,2.5x,2.3x,3.7x,18.7x,0.13x,$304,$17,$285,21%,25%,18%,61%,16%,20%,14%,50%,12%,9%,12%,34%,29%,1.5,13.2,$406,750,$493,$219,115%,0.2x
OneStream,$22.50,(24%),-,"$4,335","$3,915",7.4x,6.7x,9.6x,60.3x,0.34x,$530,$13,$489,29%,31%,20%,68%,40%,16%,15%,70%,(2%),12%,10%,43%,30%,0.3,62.5,$331,"1,601",$339,$248,118%,1.1x
*PagerDuty,$18.89,2%,(17%),"$1,755","$1,666",3.5x,3.3x,3.9x,14.4x,0.33x,$476,$12,$457,9%,9%,10%,86%,37%,21%,13%,70%,16%,22%,22%,30%,32%,0.3,48.7,$32,"15,050",$376,$284,107%,0.8x
Palantir,$90.96,13%,271%,"$228,112","$223,212",67.4x,59.2x,72.2x,-,1.87x,"$3,310",$408,"$2,866",36%,29%,32%,83%,23%,12%,13%,43%,39%,40%,40%,69%,72%,2.6,5.6,"$4,656",711,$841,$319,120%,11.9x
Palo Alto Networks,$182.32,(2%),27%,"$122,142","$119,880",13.3x,12.2x,15.9x,32.5x,0.84x,"$9,030",$474,"$8,571",14%,14%,15%,77%,30%,16%,4%,50%,27%,34%,38%,48%,52%,0.8,20.7,-,-,$573,$276,-,26.0x
Paycom,$218.30,5%,13%,"$12,222","$11,903",6.0x,5.9x,7.1x,28.9x,0.76x,"$1,975",$167,"$1,883",14%,11%,8%,83%,22%,11%,13%,46%,37%,18%,19%,29%,27%,1.7,8.7,$53,"37,543",$270,$120,-,13.9x
Paycor,$22.39,17%,16%,"$4,070","$3,968",5.5x,5.2x,7.6x,53.5x,0.54x,$722,$52,$700,13%,16%,10%,75%,29%,8%,12%,49%,26%,17%,10%,32%,19%,1.0,16.0,$22,"31,000",$227,$116,-,1.0x
Paylocity,$191.91,(2%),12%,"$10,734","$10,633",7.1x,6.5x,8.9x,27.1x,0.74x,"$1,508",$56,"$1,499",16%,16%,9%,74%,21%,14%,9%,45%,29%,21%,23%,37%,32%,0.7,22.8,$39,"39,050",$236,$110,-,11.0x
Paymentus,$27.29,(20%),14%,"$3,477","$3,279",3.2x,3.0x,10.9x,44.2x,0.13x,"$1,032",$105,$872,56%,42%,24%,30%,12%,6%,4%,21%,9%,3%,8%,45%,31%,4.2,10.3,-,-,$518,$119,-,1.4x
Phreesia,$27.46,9%,16%,"$1,632","$1,566",3.7x,3.3x,4.8x,29.9x,0.18x,$427,$19,$405,17%,20%,18%,85%,26%,25%,13%,64%,21%,(3%),10%,17%,28%,0.8,18.9,-,-,$264,$189,-,1.4x
Procore,$70.38,(8%),(13%),"$10,735","$9,993",8.3x,7.7x,9.0x,52.4x,0.65x,"$1,208",$25,"$1,152",16%,21%,12%,86%,41%,21%,14%,76%,10%,11%,14%,32%,26%,0.2,70.7,$71,"17,088",$287,$246,-,1.0x
Q2,$79.21,(24%),51%,"$4,811","$4,905",6.7x,6.3x,11.4x,36.1x,0.56x,$732,$32,$696,13%,12%,11%,56%,13%,18%,11%,42%,14%,15%,17%,27%,28%,1.5,13.8,$563,"1,300",$296,$122,-,5.8x
Qualys,$127.92,(9%),(23%),"$4,686","$4,157",6.5x,6.4x,7.7x,18.3x,0.89x,$637,$21,$608,10%,10%,7%,83%,19%,15%,6%,39%,44%,38%,34%,48%,42%,0.7,19.6,$64,"10,000",$265,$104,-,10.5x
Rapid7,$28.29,(28%),(44%),"$1,819","$2,315",2.7x,2.7x,3.6x,17.0x,1.03x,$865,$6,$844,5%,9%,3%,74%,32%,16%,7%,54%,20%,18%,16%,27%,18%,0.1,-,$74,"11,727",$358,$195,-,1.7x
RingCentral,$26.90,(28%),(25%),"$2,440","$3,976",1.6x,1.6x,2.0x,7.9x,0.31x,"$2,458",$23,"$2,400",8%,9%,5%,77%,39%,10%,7%,56%,21%,17%,20%,26%,25%,0.1,-,-,-,$577,$323,99%,2.1x
Rubrik,$68.19,3%,-,"$13,328","$12,973",12.9x,11.2x,14.5x,-,0.26x,"$1,002",$83,$803,38%,37%,44%,85%,66%,29%,15%,111%,(26%),(4%),5%,32%,49%,0.6,22.8,$129,"6,100",$253,$281,120%,2.2x
SailPoint,$20.25,-,-,"$11,270","$16,748",8.9x,17.3x,89.0x,-,-,"$1,882",$293,"$1,648",30%,25%,23%,84%,28%,10%,6%,44%,40%,14%,(0.9%),44%,38%,2.5,5.9,$650,"2,895",$712,$275,114%,0.8x
*Salesforce,$280.62,(18%),(9%),"$270,381","$268,419",6.7x,6.6x,8.2x,19.9x,0.84x,"$39,972","$2,196","$37,895",8%,9%,8%,79%,32%,12%,7%,50%,29%,33%,33%,42%,41%,0.7,20.8,-,-,$511,$263,-,101.6x
Samsara,$40.16,(9%),8%,"$22,734","$21,836",15.0x,14.2x,18.5x,-,0.63x,"$1,458",$109,"$1,249",32%,33%,23%,77%,41%,15%,12%,68%,9%,9%,9%,42%,32%,0.9,17.9,-,-,$381,$272,-,1.7x
